image_filename,lighting,pixels_light
Image05285.jpg,Night,51.0
Image10569.jpg,Twilight,67.0
Image00001.jpg,Twilight,62.0
Image00002.jpg,Night,59.0
Image00003.jpg,Night,53.0
Image00004.jpg,Night,54.0
Image00005.jpg,Night,55.0
Image00006.jpg,Night,49.0
Image00007.jpg,Night,47.0
Image00008.jpg,Night,52.0
Image00009.jpg,Night,58.0
Image00010.jpg,Night,60.0
Image00011.jpg,Twilight,60.0
Image00012.jpg,Night,60.0
Image00013.jpg,Night,56.0
Image00014.jpg,Night,46.0
Image00015.jpg,Night,45.0
Image00016.jpg,Night,52.0
Image00017.jpg,Night,53.0
Image00019.jpg,Night,52.0
Image00020.jpg,Night,58.0
Image00021.jpg,Night,60.0
Image00022.jpg,Twilight,60.0
Image00023.jpg,Night,60.0
Image00024.jpg,Night,59.0
Image00025.jpg,Night,59.0
Image00026.jpg,Night,59.0
Image00027.jpg,Night,59.0
Image00028.jpg,Night,58.0
Image00029.jpg,Night,58.0
Image00030.jpg,Night,58.0
Image00031.jpg,Night,59.0
Image00032.jpg,Night,59.0
Image00033.jpg,Night,59.0
Image00034.jpg,Night,54.0
Image00035.jpg,Night,49.0
Image00037.jpg,Night,51.0
Image00038.jpg,Night,50.0
Image00039.jpg,Night,44.0
Image00040.jpg,Night,49.0
Image00041.jpg,Night,57.0
Image00042.jpg,Night,59.0
Image00043.jpg,Night,59.0
Image00044.jpg,Night,58.0
Image00045.jpg,Night,55.0
Image00046.jpg,Night,44.0
Image00047.jpg,Night,43.0
Image00048.jpg,Night,51.0
Image00049.jpg,Night,52.0
Image00050.jpg,Night,48.0
Image00051.jpg,Night,54.0
Image00052.jpg,Night,57.0
Image00053.jpg,Night,59.0
Image00055.jpg,Twilight,62.0
Image00056.jpg,Twilight,63.0
Image00057.jpg,Twilight,63.0
Image00058.jpg,Twilight,64.0
Image00059.jpg,Twilight,65.0
Image00060.jpg,Twilight,64.0
Image00061.jpg,Twilight,65.0
Image00062.jpg,Twilight,66.0
Image00063.jpg,Twilight,66.0
Image00064.jpg,Twilight,68.0
Image00065.jpg,Day,69.0
Image00066.jpg,Twilight,65.0
Image00067.jpg,Twilight,62.0
Image00068.jpg,Twilight,62.0
Image00069.jpg,Twilight,63.0
Image00070.jpg,Twilight,62.0
Image00071.jpg,Night,57.0
Image00073.jpg,Day,71.0
Image00074.jpg,Day,71.0
Image00075.jpg,Day,68.0
Image00076.jpg,Twilight,63.0
Image00077.jpg,Night,54.0
Image00078.jpg,Night,36.0
Image00079.jpg,Night,38.0
Image00080.jpg,Night,45.0
Image00081.jpg,Night,44.0
Image00082.jpg,Night,40.0
Image00083.jpg,Night,46.0
Image00084.jpg,Night,48.0
Image00085.jpg,Night,53.0
Image00086.jpg,Night,55.0
Image00087.jpg,Night,56.0
Image00088.jpg,Night,57.0
Image00089.jpg,Night,58.0
Image00091.jpg,Night,58.0
Image00092.jpg,Night,59.0
Image00093.jpg,Night,59.0
Image00094.jpg,Night,56.0
Image00095.jpg,Night,54.0
Image00096.jpg,Night,53.0
Image00097.jpg,Night,47.0
Image00098.jpg,Night,43.0
Image00099.jpg,Night,42.0
Image00100.jpg,Night,47.0
Image00101.jpg,Night,51.0
Image00102.jpg,Night,50.0
Image00103.jpg,Night,42.0
Image00104.jpg,Night,42.0
Image00105.jpg,Night,49.0
Image00106.jpg,Night,49.0
Image00107.jpg,Night,47.0
Image00018.jpg,Night,51.0
Image00036.jpg,Night,49.0
Image00054.jpg,Twilight,61.0
Image00072.jpg,Twilight,62.0
Image00090.jpg,Night,58.0
Image00108.jpg,Night,47.0
Image00126.jpg,Night,50.0
Image00144.jpg,Night,40.0
Image00162.jpg,Night,42.0
Image00180.jpg,Night,54.0
Image00198.jpg,Night,50.0
Image00216.jpg,Night,52.0
Image00234.jpg,Night,39.0
Image00252.jpg,Night,38.0
Image00270.jpg,Night,29.0
Image00288.jpg,Night,43.0
Image00109.jpg,Night,43.0
Image00110.jpg,Night,29.0
Image00111.jpg,Night,27.0
Image00112.jpg,Night,33.0
Image00113.jpg,Night,35.0
Image00114.jpg,Night,34.0
Image00115.jpg,Night,41.0
Image00116.jpg,Night,48.0
Image00117.jpg,Night,50.0
Image00118.jpg,Night,48.0
Image00119.jpg,Night,45.0
Image00120.jpg,Night,44.0
Image00121.jpg,Night,43.0
Image00122.jpg,Night,43.0
Image00123.jpg,Night,44.0
Image00124.jpg,Night,46.0
Image00125.jpg,Night,48.0
Image00127.jpg,Night,50.0
Image00128.jpg,Night,49.0
Image00129.jpg,Night,47.0
Image00130.jpg,Night,44.0
Image00131.jpg,Night,37.0
Image00132.jpg,Night,41.0
Image00133.jpg,Night,41.0
Image00134.jpg,Night,41.0
Image00135.jpg,Night,32.0
Image00136.jpg,Night,39.0
Image00137.jpg,Night,45.0
Image00138.jpg,Night,48.0
Image00139.jpg,Night,49.0
Image00140.jpg,Night,48.0
Image00141.jpg,Night,45.0
Image00142.jpg,Night,33.0
Image00143.jpg,Night,32.0
Image00145.jpg,Night,41.0
Image00146.jpg,Night,39.0
Image00147.jpg,Night,41.0
Image00148.jpg,Night,38.0
Image00149.jpg,Night,42.0
Image00150.jpg,Night,45.0
Image00151.jpg,Night,46.0
Image00152.jpg,Night,44.0
Image00153.jpg,Night,42.0
Image00154.jpg,Night,42.0
Image00155.jpg,Night,42.0
Image00156.jpg,Night,43.0
Image00157.jpg,Night,44.0
Image00158.jpg,Night,44.0
