image_filename,lighting
0000f77c-6257be58.jpg,Day
0000f77c-62c2a288.jpg,Twilight
0000f77c-cb820c98.jpg,Twilight
0001542f-5ce3cf52.jpg,Night
0001542f-7c670be8.jpg,Night
0001542f-ec815219.jpg,Night
0004974f-05e1c285.jpg,Night
00054602-3bf57337.jpg,Day
00067cfb-5443fe39.jpg,Day
00067cfb-5adfaaa7.jpg,Night
00067cfb-caba8a02.jpg,Day
00067cfb-e535423e.jpg,Twilight
00067cfb-f1b91e3c.jpg,Day
0008a165-c48f4b3e.jpg,Twilight
00091078-59817bb0.jpg,Day
00091078-7cff8ea6.jpg,Day
00091078-84635cf2.jpg,Twilight
00091078-875c1f73.jpg,Day
00091078-c1d32eea.jpg,Twilight
00091078-cedbfea7.jpg,Day
00091078-f32de4d2.jpg,Twilight
000d35d3-41990aa4.jpg,Night
000d4f89-3bcbe37a.jpg,Day
000e0252-8523a4a9.jpg,Day
000f157f-30b30f5e.jpg,Night
000f157f-37797ff9.jpg,Night
000f157f-dab3a407.jpg,Day
000f8d37-d4c09a0f.jpg,Day
0010bf16-9ee17cd9.jpg,Day
0010bf16-a457685b.jpg,Day
00131ea7-624f538d.jpg,Day
00134776-9123d227.jpg,Night
001bad4e-2fa8f3b6.jpg,Day
001c5339-08faca55.jpg,Night
001c5339-13a07470.jpg,Night
001c5339-9a6cdd3e.jpg,Night
00202076-7a95b4e3.jpg,Night
00202076-9eaa8e42.jpg,Day
00207869-046fa443.jpg,Day
00207869-902288d1.jpg,Day
00211b17-ad3e206b.jpg,Night
00225f53-4200bde2.jpg,Day
00225f53-67614580.jpg,Day
00232de3-19eca24a.jpg,Night
0024b742-83709bd4.jpg,Day
0024b742-acbed4fb.jpg,Day
002685b6-856c17f7.jpg,Day
00268999-0b20ef00.jpg,Night
00268999-9f6d5823.jpg,Day
00268999-a4b8e39d.jpg,Night
00268999-cb063914.jpg,Night
002827ad-8748e2fb.jpg,Day
0028cbbf-92f30408.jpg,Day
002ab96a-a96704f9.jpg,Day
002ab96a-ea678692.jpg,Day
002b485a-3f6603f2.jpg,Night
002b485a-d1301c7c.jpg,Night
002b562f-e0ac84fe.jpg,Night
002cd38e-c7defded.jpg,Day
002cd38e-ebe888e1.jpg,Day
002d290d-01969e7d.jpg,Day
002d290d-89d1aea8.jpg,Day
002d290d-89f4e5c0.jpg,Day
002d290d-90f2bab2.jpg,Day
002d290d-f9108a13.jpg,Day
002d290d-fa2a8964.jpg,Day
002e6895-442e6bc1.jpg,Day
002f8552-0cdd55c6.jpg,Day
0030f434-3eb4a3a9.jpg,Day
00313a01-62156032.jpg,Night
00313a01-725ddf3a.jpg,Night
00313a01-97de1f42.jpg,Night
00313a01-b53a2998.jpg,Night
00322f82-286ab9b3.jpg,Night
0032419c-7d20b300.jpg,Night
0033b19f-65613f7e.jpg,Day
0033b19f-7f07efac.jpg,Day
0034a363-24f318c4.jpg,Night
0035afff-3295dbd6.jpg,Night
0035afff-434368a1.jpg,Night
0035afff-47378fa3.jpg,Night
0035afff-572b2d4e.jpg,Night
0035afff-bd191d6a.jpg,Night
00378858-c5f802ac.jpg,Night
00390995-49d9a01e.jpg,Day
00391a82-8be5b76d.jpg,Twilight
00391a82-d1428e56.jpg,Twilight
003baca5-70c87fc6.jpg,Day
003baca5-aab2e274.jpg,Day
003baca5-ad660439.jpg,Day
003baca5-d6cd84e5.jpg,Day
003c4a61-52588960.jpg,Night
003e23ee-07d32feb.jpg,Day
003e23ee-67d25f19.jpg,Day
004071a4-049b7b85.jpg,Night
004071a4-4e8a363a.jpg,Day
004071a4-a45d905f.jpg,Day
004071a4-ef4bf541.jpg,Day
00417c23-220bbc98.jpg,Twilight
00423717-0ef3c8dc.jpg,Night
00423717-eba4da41.jpg,Night
00423ac5-1fa7ff43.jpg,Night
0045e757-02530231.jpg,Night
0045e757-088840fc.jpg,Night
0045e757-66a334b5.jpg,Night
004855fc-ff3946ad.jpg,Day
00488a66-6c729bde.jpg,Day
00488b40-0a8cf1a0.jpg,Day
0048f391-2c5344eb.jpg,Day
0048f391-8eb40ca6.jpg,Day
0048f391-e9bfaf62.jpg,Day
0048f391-eae6a189.jpg,Day
00495359-1d04dd8a.jpg,Day
00495359-27ce9c7e.jpg,Day
0049e5b8-725e21a0.jpg,Day
0049e5b8-afda7206.jpg,Day
004ea016-0b1932a7.jpg,Day
00516b75-7ac91661.jpg,Night
0051e391-d32a618e.jpg,Day
0052b279-87c692aa.jpg,Day
