image_filename,lighting_was,lighting_now,pixels_light
0000f77c-62c2a288.jpg,Twilight,Day,110.0
0000f77c-cb820c98.jpg,Twilight,Day,75.0
00067cfb-e535423e.jpg,Twilight,Day,81.0
0008a165-c48f4b3e.jpg,Twilight,Night,54.0
00091078-84635cf2.jpg,Twilight,Day,71.0
00091078-c1d32eea.jpg,Twilight,Day,81.0
00091078-f32de4d2.jpg,Twilight,Day,85.0
002b485a-3f6603f2.jpg,Night,Twilight,63.0
00391a82-8be5b76d.jpg,Twilight,Day,93.0
00391a82-d1428e56.jpg,Twilight,Night,36.0
003c4a61-52588960.jpg,Night,Twilight,62.0
004071a4-049b7b85.jpg,Night,Day,82.0
00417c23-220bbc98.jpg,Twilight,Day,80.0
0048f391-2c5344eb.jpg,Day,Twilight,68.0
0048f391-eae6a189.jpg,Day,Twilight,66.0
005c4fd3-cb4d6287.jpg,Twilight,Day,104.0
0062ab5a-54bb129b.jpg,Twilight,Day,96.0
006676e5-624162a7.jpg,Twilight,Night,46.0
008d2a0a-ac995caf.jpg,Night,Twilight,62.0
0090c713-683fc99a.jpg,Day,Twilight,66.0
0096bcca-42d2702c.jpg,Night,Twilight,62.0
009e7a6a-3d755b8b.jpg,Twilight,Day,92.0
00b1dfed-a89dbe2b.jpg,Twilight,Day,81.0
00c4c672-26d36ad8.jpg,Night,Twilight,61.0
00ca8821-17667a58.jpg,Day,Night,53.0
00ccf2e8-f8c69860.jpg,Twilight,Day,83.0
00cf8e3d-773de15e.jpg,Twilight,Day,81.0
00dc5030-237e7f71.jpg,Twilight,Day,69.0
00f0dd0f-5e9c9557.jpg,Twilight,Day,80.0
00f89335-2ef7949d.jpg,Twilight,Day,84.0
0100a197-bdbf50ca.jpg,Twilight,Day,85.0
0104eb19-162abfea.jpg,Twilight,Day,105.0
010d75f8-fa119cd4.jpg,Twilight,Day,80.0
0113faa5-8a0daa74.jpg,Twilight,Day,89.0
0128cdde-ce2cb20b.jpg,Day,Night,19.0
012a9c41-69222e1b.jpg,Twilight,Day,87.0
012a9c41-edad898c.jpg,Twilight,Day,92.0
013ae324-36be6bc2.jpg,Twilight,Day,85.0
0141ab5f-fc9afdd2.jpg,Twilight,Day,97.0
01460ec4-a1d65b66.jpg,Night,Twilight,64.0
01460ec4-ae03e419.jpg,Night,Twilight,61.0
015fcc2d-2d44d478.jpg,Twilight,Day,103.0
01621265-578a97d7.jpg,Twilight,Day,92.0
0168e22b-175c805f.jpg,Twilight,Day,71.0
0168e22b-81d10cb6.jpg,Twilight,Day,87.0
018f06cd-834da3b3.jpg,Twilight,Day,163.0
01a01af7-76f6a476.jpg,Twilight,Day,100.0
01a4deab-0f7d41cc.jpg,Twilight,Day,116.0
01a4deab-9d5e5a17.jpg,Twilight,Day,93.0
01a54273-6df5e1d3.jpg,Night,Twilight,61.0
01ad8d8a-49bb0c93.jpg,Night,Twilight,61.0
01b633a2-5c2fee2e.jpg,Twilight,Day,103.0
01c231b4-1ebf841a.jpg,Twilight,Day,91.0
01c5cd64-192464e1.jpg,Day,Twilight,62.0
01c9256f-b4754064.jpg,Twilight,Day,112.0
01d3a4d7-92c0537c.jpg,Twilight,Day,91.0
01dc1bbe-b5109eb3.jpg,Twilight,Day,122.0
01ebc74a-5c69af71.jpg,Night,Twilight,62.0
01f7bbd1-2f36d7a2.jpg,Twilight,Day,92.0
01fa5cc7-c41fe747.jpg,Twilight,Day,88.0
01ff4acd-abd98a91.jpg,Twilight,Day,93.0
01ff4acd-b2311e18.jpg,Night,Day,85.0
020adf31-972bcf64.jpg,Day,Night,52.0
020c83ef-ae7ac282.jpg,Twilight,Day,88.0
02172d82-354cb4fd.jpg,Day,Twilight,65.0
021df36f-cddde256.jpg,Twilight,Day,81.0
02269962-0e3f5114.jpg,Day,Twilight,67.0
0226f407-491ed238.jpg,Night,Twilight,64.0
022ba62d-853f4ad1.jpg,Twilight,Night,58.0
0245bba2-091b06af.jpg,Twilight,Day,91.0
0245bba2-d34755ef.jpg,Twilight,Day,96.0
02504d95-8ede0c80.jpg,Twilight,Day,108.0
025f49ef-0f6366f3.jpg,Twilight,Day,90.0
0263b4e2-51a4b4ff.jpg,Twilight,Day,74.0
027f59e6-ef850020.jpg,Day,Twilight,67.0
0282c435-23183908.jpg,Twilight,Day,102.0
02858212-e0d90c01.jpg,Day,Night,25.0
0289eba3-1c552656.jpg,Twilight,Day,126.0
02927def-14c4c3cb.jpg,Day,Night,32.0
029407d6-ca53347d.jpg,Twilight,Day,71.0
02982dfe-1dd674e5.jpg,Day,Twilight,66.0
02995fe4-1e0fc944.jpg,Night,Twilight,61.0
029aad77-628b9c45.jpg,Twilight,Day,119.0
029e1042-2639a5f8.jpg,Twilight,Day,78.0
029e1042-66968a89.jpg,Twilight,Day,86.0
029e1042-d985bee1.jpg,Twilight,Day,109.0
029e2aad-f295cf71.jpg,Twilight,Night,42.0
02a0f142-c9c4b7d5.jpg,Night,Twilight,61.0
02a70c1f-6f18e57f.jpg,Twilight,Day,82.0
02ae4a52-e4715e65.jpg,Night,Twilight,67.0
02d5e1be-87ae2130.jpg,Day,Night,56.0
02d5e1be-8b51b241.jpg,Twilight,Day,78.0
02d5e1be-cb00355e.jpg,Twilight,Day,86.0
02d91e68-dffa6840.jpg,Night,Twilight,66.0
02f94134-4bd5b308.jpg,Night,Day,88.0
02fa8491-2a4967e3.jpg,Twilight,Day,104.0
0309a59f-635b25c2.jpg,Twilight,Day,75.0
031637c4-655be58e.jpg,Twilight,Day,94.0
031637c4-d2a9e7f0.jpg,Night,Day,74.0
03164aef-abe781b9.jpg,Day,Twilight,63.0
032164cf-4cfe9875.jpg,Twilight,Day,91.0
0332bb54-c4bee5eb.jpg,Twilight,Day,84.0
0355243b-d696291a.jpg,Twilight,Day,108.0
035821a3-1d1d5abb.jpg,Twilight,Day,73.0
035cb512-77517657.jpg,Twilight,Day,92.0
03626025-35d58c07.jpg,Night,Day,88.0
03626025-dbda4490.jpg,Twilight,Day,93.0
036f3b5f-ee1521de.jpg,Night,Twilight,63.0
03799690-47e9b3fa.jpg,Twilight,Day,88.0
03799690-f07f24c0.jpg,Twilight,Day,121.0
0396011e-8f9b797e.jpg,Twilight,Day,104.0
